label	long.deg	long.min	long.sec	long.dir	lat.deg	lat.min	lat.sec	lat.dir
Batak	10	0	34.94	N	118	58	54.32	E
Batak	10	0	25.97	N	118	58	55.93	E
Batak	10	0	13.27	N	118	59	3.14	E
Batak	10	6	40.00	N	119	4	15.41	E
Zambal	15	16	6.59	N	120	2	2.25	E
Aeta	15	10	14.62	N	120	12	34.19	E
Aeta	15	15	55.91	N	120	9	52.38	E
Aeta	14	59	39.04	N	120	17	13.53	E
Aeta	14	55	31.82	N	120	14	31.45	E
Casigurani	16	16	31.24	N	122	7	27.44	E
Agta	16	13	23.09	N	122	7	36.31	E
Agta	16	6	52.94	N	122	3	56.24	E
Agta	16	10	56.26	N	122	7	25.84	E
Agta	16	12	42.07	N	122	8	4.76	E
